,Unnamed: 0,indice,memoria(%),cpu(%),Block-use(bytes),Net-in(bytes),Net-out(bytes),TimeStamp,round
351,121,122,28.3,42.6,27934720,6949309,32727472,1670769722,6
352,172,173,28.8,39.8,39133184,9794232,45858767,1670769773,6
353,39,40,28.6,39.6,6377472,1702571,7599446,1670769640,6
354,223,224,29.3,37.1,50327552,12642290,58995422,1670769824,6
355,141,142,28.4,33.7,28573696,7261486,33653666,1670769742,6
356,243,244,29.3,32.7,50925568,12947676,59824277,1670769844,6
357,70,71,28.9,32.6,16744448,4156007,19593797,1670769671,6
358,90,91,28.8,32.4,17338368,4457764,20511821,1670769691,6
359,192,193,28.8,30.9,39731200,10104587,46733216,1670769793,6
360,66,67,28.5,59.4,17031168,4164151,19953739,1670770268,7
361,91,92,28.9,59.0,23134208,5656928,27089571,1670770293,7
362,13,14,28.6,58.5,1486848,440243,1797027,1670770215,7
363,118,119,29.3,57.7,31510528,7648456,36785172,1670770320,7
364,68,69,28.7,57.6,19292160,4652982,22549340,1670770270,7
365,144,145,31.5,57.6,38727680,9388564,45203087,1670770346,7
366,94,95,29.1,56.6,26505216,6370403,30912103,1670770296,7
367,116,117,29.3,56.6,29286400,7156003,34280915,1670770318,7
368,168,169,31.0,56.6,43679744,10660825,51029376,1670770370,7
369,220,221,30.0,56.6,58032128,14126698,67807264,1670770422,7
370,222,223,29.9,56.6,60248064,14606846,70358719,1670770424,7
371,245,246,29.6,56.6,64126976,15635228,74943882,1670770447,7
372,17,18,28.3,56.4,5931008,1403608,6895410,1670770219,7
373,145,146,31.5,56.1,39837696,9638690,46476833,1670770347,7
374,193,194,30.6,56.0,49729536,12136257,58104889,1670770395,7
375,16,17,28.4,55.9,4820992,1168179,5624205,1670770218,7
376,117,118,29.3,55.7,30396416,7400136,35553018,1670770319,7
377,40,41,28.2,55.6,9764864,2396750,11433122,1670770242,7
378,170,171,30.8,55.4,45940736,11153186,53624027,1670770372,7
379,15,16,28.4,55.2,3706880,925387,4349916,1670770217,7
380,90,91,28.9,55.2,21975040,5406984,25767619,1670770292,7
381,93,94,29.0,55.2,25350144,6132640,29637064,1670770295,7
382,64,65,28.4,55.1,14807040,3668207,17352215,1670770266,7
383,39,40,28.2,55.0,8609792,2156399,10161207,1670770241,7
384,143,144,31.6,54.7,37613568,9149615,43932718,1670770345,7
385,246,247,29.8,54.7,65290240,15879933,76223831,1670770448,7
386,42,43,28.3,54.5,11980800,2882673,13982241,1670770244,7
387,142,143,31.7,54.5,36495360,8902120,42654258,1670770344,7
388,194,195,30.5,54.5,50798592,12380720,59380230,1670770396,7
389,219,220,30.1,54.2,56918016,13890959,66491498,1670770421,7
390,218,219,30.2,54.0,55808000,13645752,65256990,1670770420,7
391,67,68,28.6,53.7,18141184,4404924,21186196,1670770269,7
392,243,244,29.7,53.7,61906944,15138895,72353434,1670770445,7
393,92,93,28.9,53.6,24240128,5897014,28361927,1670770294,7
394,119,120,29.3,53.6,32575488,7890445,38060429,1670770321,7
395,166,167,31.2,53.6,41451520,10165140,48480306,1670770368,7
396,196,197,30.3,53.6,53014528,12873542,61933861,1670770398,7
397,14,15,28.5,53.5,2596864,684670,3072923,1670770216,7
398,41,42,28.3,53.5,10870784,2638008,12707359,1670770243,7
399,115,116,29.1,53.5,28131328,6907568,32911980,1670770317,7
400,192,193,30.7,53.5,48615424,11896318,56831253,1670770394,7
401,195,196,30.4,53.5,51867648,12627000,60612943,1670770397,7
402,217,218,30.2,53.5,54693888,13402746,63934995,1670770419,7
403,244,245,29.7,53.1,63021056,15389639,73626811,1670770446,7
404,141,142,31.8,52.6,-28626944,8665358,41378837,1670770343,7
405,169,170,30.9,52.1,44822528,10906275,52391098,1670770371,7
406,221,222,29.9,52.1,59133952,14365083,69083384,1670770423,7
407,65,66,28.5,52.0,15949824,3907655,18713800,1670770267,7
408,43,44,28.3,51.5,13008896,3124856,15211929,1670770245,7
409,167,168,31.1,51.5,42479616,10413669,49710333,1670770369,7
410,247,248,29.8,50.0,66351104,16134140,77501562,1670770449,7
411,120,121,29.5,46.5,33492992,8073715,39059628,1670770322,7
412,171,172,30.8,46.5,46907392,11360976,54734425,1670770373,7
413,140,141,29.5,42.3,34279424,8423023,40104774,1670770342,7
414,38,39,28.2,41.8,7499776,1909640,8884725,1670770240,7
415,89,90,28.8,41.2,20869120,5161609,24490346,1670770291,7
416,18,19,28.2,35.1,6668288,1554282,7736543,1670770220,7
417,69,70,28.7,35.1,20078592,4812087,23399023,1670770271,7
418,248,249,29.8,34.3,67043328,16278983,78245039,1670770450,7
419,191,192,30.7,31.0,47419392,11657705,55514388,1670770393,7
420,0,1,29.7,100.0,0,0,0,1670770801,8
421,41,42,29.4,72.2,13017088,2905308,14479393,1670770842,8
422,40,41,29.2,70.1,14811136,2631642,12908020,1670770841,8
423,13,14,29.6,66.0,1589248,485761,1917246,1670770814,8
424,168,169,30.1,66.0,51113984,11807313,58713727,1670770969,8
425,65,66,29.2,65.7,18747392,4276985,21200374,1670770866,8
426,246,247,30.2,65.7,76316672,17602207,87972047,1670771048,8
427,14,15,29.5,65.3,2887680,759082,3432093,1670770815,8
428,16,17,29.5,65.3,5566464,1300438,6455881,1670770817,8
429,39,40,29.5,65.0,9830400,2383206,11568466,1670770840,8
430,221,222,29.9,64.7,69238784,15935298,79727025,1670771023,8
431,119,120,29.9,64.6,38178816,8730741,43701734,1670770920,8
432,170,171,29.9,64.6,53743616,12343772,61769688,1670770971,8
433,43,44,29.2,64.4,15646720,3475941,17532675,1670770844,8
434,94,95,29.5,64.3,31010816,7041326,35360469,1670770895,8
435,15,16,29.4,63.9,4186112,1028546,4881633,1670770816,8
436,167,168,30.2,63.9,49815552,11529078,57229541,1670770968,8
437,116,117,29.7,63.6,34332672,7912019,39255884,1670770917,8
438,169,170,30.0,63.6,52412416,12070641,60194213,1670770970,8
439,67,68,29.2,63.4,21303296,4822418,24082411,1670770868,8
440,222,223,30.0,63.4,70496256,16205948,81210450,1670771024,8
441,194,195,29.6,63.0,59437056,13733991,68478071,1670770995,8
442,195,196,29.6,62.6,60772352,14002346,69938341,1670770996,8
443,145,146,30.2,62.5,46702592,10684717,53532468,1670770946,8
444,143,144,30.2,62.2,44023808,10137293,50519765,1670770944,8
445,193,194,29.6,62.2,58138624,13463973,66993938,1670770994,8
446,219,220,29.8,62.2,66605056,15397836,76762639,1670771021,8
447,247,248,30.4,62.2,77615104,17874892,89454584,1670771049,8
448,118,119,29.8,62.0,36888576,8452363,42220678,1670770919,8
449,171,172,29.9,62.0,55037952,12617227,63208965,1670770972,8
450,93,94,29.5,61.9,29589504,6766134,33746932,1670770894,8
451,120,121,29.9,61.9,39522304,9006697,45185932,1670770921,8
452,42,43,29.3,61.8,14311424,3191181,15958109,1670770843,8
453,245,246,30.2,61.8,74936320,17322778,86388304,1670771047,8
454,220,221,29.9,61.7,67899392,15659749,78244348,1670771022,8
455,17,18,29.4,61.6,6819840,1576824,7891247,1670770818,8
456,91,92,29.4,61.6,27078656,6204671,30826232,1670770892,8
457,243,244,30.1,61.6,72429568,16776304,83517680,1670771045,8
458,68,69,29.2,61.5,22630400,5093679,25654676,1670770869,8
459,244,245,30.2,61.5,73592832,17049022,84955323,1670771046,8
460,115,116,29.6,61.1,33034240,7629791,37770047,1670770916,8
461,69,70,29.2,60.8,23879680,5366833,27034415,1670770870,8
462,90,91,29.3,60.6,25874432,5935193,29432825,1670770891,8
463,142,143,30.1,60.4,42766336,9864388,49036316,1670770943,8
464,64,65,29.3,60.0,17408000,3997502,19629817,1670770865,8
465,117,118,29.7,60.0,35545088,8183756,40690156,1670770918,8
466,141,142,30.0,59.8,41472000,9586066,47597445,1670770942,8
467,192,193,29.7,59.6,56881152,13176649,65462839,1670770993,8
468,66,67,29.1,59.0,20045824,4546054,22684436,1670770867,8
469,92,93,29.4,58.9,28332032,6482730,32305263,1670770893,8
470,196,197,29.7,57.9,62078976,14280193,71397636,1670770997,8
